;SMILES;ID;MolWt;TPSA;nRotB;HBD;HBA;LogP
20;CC(=O)OC1=CC=C2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCC2=C1;estradiol acetate;314.1881947;46.53;1;1;3;3.8289
21;CN[C@@H](C)CC1=CC=CC=C1;methamphetamine;149.1204495;12.03;3;1;1;1.837
22;OC1=C(CC2=C(O)OC3=CC=CC=C3C2=O)C(=O)C2=CC=CC=C2O1;dicumarol;336.0633881;100.88;2;2;6;2.9014
23;C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C;vitamin a;286.2296656;20.23;5;1;1;5.5103
24;COC1=C(O)C2=C3[C@H](CC4=CC(OC5=C(OC)C=C6CCN(C)[C@@H](CC7=CC=C(O2)C=C7)C6=C5)=C(O)C=C4)[N+](C)(C)CCC3=C1;tubocurarine ;609.2959135;80.62;2;2;7;6.701
25;NC1=CC=C(C=C1)S(=O)(=O)NC(=O)C1=CC=CC=C1;sulfabenzamide ;276.0568632;89.26;3;2;4;1.3875
26;CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1;sulfacetamide;214.0412132;89.26;2;2;4;0.0936
27;NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1;sulfathiazole;255.0136185;85.08;3;2;5;1.5261
28;NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O;nitrofurazone;198.0389047;123.76;3;2;5;0.19
29;CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1;diphenhydramine;255.1623143;12.47;6;0;2;3.3542
30;C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=C(OCC(F)(F)F)C=CC=C1;silodosin;495.2344912;97.05;13;3;6;3.0711
31;CN1C(=O)OC(C)(C)C1=O;trimethadione;143.0582431;46.61;0;0;3;0.3736
32;NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)=CN=C2N1;folic acid ;439.1251284;218.94;9;4;11;-2.7142
33;CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1;tripelennamine ;255.1735477;19.37;6;0;3;2.6498
34;C[N+]1(C)[C@H]2CC[C@@H]1C[C@H](C2)OC(=O)[C@@H](O)C1=CC=CC=C1;homatropine methylbromide;290.17507;46.53;3;1;3;2.033
35;CN1C[C@@H](C[C@H]2[C@H]1CC1=CNC3=CC=CC2=C13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](CC3=CC=CC=C3)N2C1=O;dihydroergotamine;583.2794693;118.21;4;3;6;2.0811
36;OC[C@H](S)CS;dimercaprol;124.0016569;20.23;2;3;3;0.2069
37;CCN(CC)CCC[C@@H](C)NC1=CC=NC2=CC(Cl)=CC=C12;chloroquine;319.1815255;28.16;8;1;3;4.8106
38;CC[C@@]1(NC(=O)N(C)C1=O)C1=CC=CC=C1;mephenytoin;218.1055277;49.41;2;1;2;1.4735
39;CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1;methylergonovine ;339.194677;68.36;4;3;3;1.9247
40;O[S@@](=O)CNC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NC[S@@](O)=O)C=C1;sulfoxone;404.0170492;132.8;8;4;6;1.7016
41;OC[C@H](O)[C@H]1OC(=O)C(O)=C1O;ascorbic acid;176.032088;107.22;2;4;6;-1.4074
42;[O-]C(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12;biotin ;243.0808869;81.26;5;2;4;-0.5379
43;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C1=CC=CO1)C(=O)CCl;mometasone furoate ;520.141944;93.81;4;1;6;4.8692
44;NC(=O)C1=CC=CN=C1;niacinamide;122.0480128;55.98;1;1;2;0.1805
45;CC1=C(O)C(CO)=C(CO)C=N1;pyridoxine ;169.0738932;73.58;2;3;4;0.08022
46;CC1=C(CCO)SC=[N+]1CC1=C(N)N=C(C)N=C1;thiamine ;265.1117586;75.91;4;2;5;0.60774
47;CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C;alpha-tocopherol ;430.3810808;29.46;12;1;2;8.84026
48;C\C=C(\C(=C\C)\C1=CC=C(O)C=C1)/C1=CC=C(O)C=C1;dienestrol ;266.1306798;40.46;3;2;2;4.6046
49;CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1;methadone;309.2092645;20.31;7;0;2;4.292
50;CCCC1=CC(=O)NC(=S)N1;propylthiouracil ;170.0513839;48.65;2;2;2;1.38499
51;CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC;dibucaine;343.2259772;54.46;10;1;4;3.4853
52;OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl;hexachlorophene;403.8498955;40.46;2;2;2;6.609
53;OC[C@@H](S)CS;dimercaprol;124.0016569;20.23;2;3;3;0.2069
54;CC1=CC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1;sulfamerazine;264.0680966;97.97;3;2;5;1.16802
55;CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1;sulfamethazine ;278.0837467;97.97;3;2;5;1.47644
56;CC(C)NC[C@H](O)C1=CC(O)=C(O)C=C1;isoproterenol;211.1208434;72.72;4;4;4;1.1292
57;CC(C)NC[C@@H](O)C1=CC(O)=C(O)C=C1;isoproterenol;211.1208434;72.72;4;4;4;1.1292
58;C(C1=NCCN1)C1=CC=CC=C1;tolazoline ;160.1000484;24.39;2;1;2;1.2308
59;CN(C)CCO[C@@](C)(C1=CC=CC=C1)C1=CC=CC=N1;doxylamine ;270.1732133;25.36;6;0;3;2.9233
60;CCN(CC)CC1=C(O)C=CC(NC2=CC=NC3=CC(Cl)=CC=C23)=C1;amodiaquine;355.14514;48.39;6;2;4;5.1792
61;CCN(CC)C(=O)N1CCN(C)CC1;diethylcarbamazine ;199.1684623;26.79;2;0;2;0.6956
62;CCN(CC)CC(=O)NC1=C(C)C=CC=C1C;lidocaine;234.1732133;32.34;5;1;2;2.58374
63;CNC[C@H](O)C1=CC(O)=C(O)C=C1;epinephrine;183.0895433;72.72;3;4;4;0.3506
64;CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C;sulfisoxazole;267.0677623;98.22;3;2;5;1.67444
65;CC(=O)N(C1=C(C)C(C)=NO1)S(=O)(=O)C1=CC=C(N)C=C1;sulfisoxazole acetyl ;309.078327;106.5;3;1;6;1.61544
66;NC1=CC=C(C=C1)S(N)(=O)=O;sulfanilamide;172.0306485;86.18;1;2;3;-0.0838
67;C[C@H](C[N+](C)(C)C)OC(N)=O;bethanechol;161.1284542;52.32;3;1;2;0.1764
68;CN1C=NC2=C1C(=O)N(C)C(=O)N2C;caffeine ;194.0803756;61.82;0;0;6;-1.0293
69;CN1C[C@@H](C=C2[C@H]1CC1=CNC3=CC=CC2=C13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](CC3=CC=CC=C3)N2C1=O;ergotamine ;581.2638192;118.21;4;3;6;1.9908
70;COC1=CC2=C3[C@@H](CC4=CC(OC5=C(OC)C=C6CC[N+](C)(C)[C@@H](CC7=CC=C(OC3=C1OC)C=C7)C6=C5)=C(OC)C=C4)[N+](C)(C)CC2;metocurine ;652.3501401;55.38;4;0;6;7.4516
71;CN(CCCl)CCCl;mechlorethamine;155.0268547;3.24;4;0;1;1.3958
72;COC1=CC([C@H](O)[C@@H](C)N)=C(OC)C=C1;methoxamine;211.1208434;64.71;4;2;4;1.0844
73;O[C@](CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1;trihexyphenidyl;301.2405646;23.47;5;1;2;4.3305
74;CC[C@]1(C)OC(=O)N(C)C1=O;paramethadione ;157.0738932;46.61;1;0;3;0.7637
75;NC1=CC(O)=C(C=C1)C([O-])=O;aminosalicylic acid;152.0353166;86.38;1;2;4;-0.6621
76;CN(C)CC[C@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1;chlorpheniramine ;274.1236763;16.13;5;0;2;3.8186
77;NC1=CC(O)=C(C=C1)C(=O)OC1=CC=CC=C1;phenyl aminosalicylate ;229.0738932;72.55;2;2;4;2.1936
78;CN(C)CC[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1;dexchlorpheniramine;274.1236763;16.13;5;0;2;3.8186
79;CCN(C(=O)\C=C\C)C1=C(C)C=CC=C1;crotamiton ;203.1310142;20.31;3;0;1;2.92402
80;[O-]C(=O)C1=C\C(C=CC1=O)=N\NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1;sulfasalazine;397.0612141;140.65;6;2;8;0.4655
81;CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C;cortisone acetate;402.2042387;97.74;3;1;6;2.5606
82;CCN(CC)CCNC(=O)C1=CC=C(N)C=C1;procainamide ;235.1684623;58.36;6;2;3;1.3404
83;CC(=O)OC1=C(C=CC=C1)C([O-])=O;aspirin;179.0349823;66.43;2;0;4;-0.0246
84;COC1=CC=C2C[C@H]3N(C)CC[C@@]45[C@@H](OC1=C24)C(=O)CC[C@@]35O;oxycodone;315.1470582;59;1;1;5;1.0482
85;CCC[C@@H](C)C1(CC=C)C(=O)NC(=O)NC1=O;secobarbital ;238.1317424;75.27;5;2;3;1.3511
86;CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1;dicyclomine;309.2667794;29.54;7;0;3;4.4022
87;CN1C=CNC1=S;methimazole;114.0251692;20.72;0;1;2;1.08269
88;COC1=CC=C2N=CC=C([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)C2=C1;quinidine;324.183778;45.59;4;1;4;3.1732
89;CCC[C@@H](C)[C@]1(CC=C)C(=O)NC(S)=NC1=O;thiamylal;254.1088988;58.53;5;2;2;1.9273
90;CCC[C@H](C)[C@]1(CC=C)C(=O)NC(S)=NC1=O;thiamylal;254.1088988;58.53;5;2;2;1.9273
91;NC(=O)NC(=O)CC1=CC=CC=C1;phenacemide;178.0742276;72.19;2;2;2;0.424
92;CN1C2=C(N(C[C@H](O)CO)C=N2)C(=O)N(C)C1=O;dyphylline ;254.1015049;102.28;3;2;8;-2.2131
93;CCN(CC)CCOC1=CC=CC(OCCN(CC)CC)=C1OCCN(CC)CC;gallamine;423.3460923;37.41;18;0;6;3.8484
94;CCN(CC)C(=S)SSC(=S)N(CC)CC;disulfiram ;296.0509326;6.48;4;0;4;3.6212
95;CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C([O-])=O;probenecid ;284.0962026;77.51;7;0;4;0.8608
96;C[C@@H](CN1C2=CC=CC=C2SC2=C1C=CC=C2)N(C)C;promethazine ;284.1347196;6.48;3;0;3;4.2394
97;CNC[C@H](O)C1=CC(O)=CC=C1;phenylephrine;167.0946287;52.49;3;3;3;0.645
98;C[C@H](CNC1CCCCC1)OC(=O)C1=CC=CC=C1;hexylcaine ;261.172879;38.33;5;1;3;3.1542
99;COC1=CC=C(CN(CCN(C)C)C2=CC=CC=N2)C=C1;pyrilamine ;285.1841124;28.6;7;0;4;2.6584
100;CC[N+](C)(C)C1=CC(O)=CC=C1;edrophonium;166.1226406;20.23;2;1;1;1.979
101;CN(C)CCO[C@@H](C1=CC=CC=C1)C1=CC=C(Br)C=C1;bromodiphenhydramine ;333.0728264;12.47;6;0;2;4.1167
102;CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O;methotrexate ;452.1567629;216.2;9;3;12;-2.401
103;COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1;chlorotrianisene ;380.1179222;27.69;6;0;3;5.8678
104;NC1=NC(=O)C2=C(NC[C@@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1;leucovorin ;471.1513432;225.5;10;5;11;-3.4005
105;C[N+]1(C)CCC(CC1)=C(C1=CC=CC=C1)C1=CC=CC=C1;diphemanil ;278.1903262;0;2;0;0;4.3587
106;OC1=CC=C(OCC2=CC=CC=C2)C=C1;monobenzone;200.0837296;29.46;3;1;2;2.9712
107;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO;hydrocortisone ;362.2093241;94.83;2;3;5;1.7816
108;CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C;hydrocortisone acetate ;404.2198887;100.9;3;2;6;2.3524
109;CCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)CO;hydrocortisone valerate;446.2668389;100.9;6;2;6;3.5227
110;CCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)CO;hydrocortisone butyrate;432.2511889;100.9;5;2;6;3.1326
111;CNC(C)(C)CC1=CC=CC=C1;mephentermine;163.1360995;12.03;3;1;1;2.2271
112;NNC1=C2C=CC=CC2=CN=N1;hydralazine;160.0748963;63.83;1;2;4;0.9154
113;COC1=CC=C2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5OC1=C2[C@]45CCN3C;codeine;299.1521435;41.93;1;1;4;1.5011
114;CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1;phenylbutazone ;308.1524779;40.62;5;0;2;3.7878
115;CCC1(CC)C(=O)NC(=O)N(C)C1=O;metharbital;198.1004423;66.48;2;1;3;0.501
116;NNC(=O)C1=CC=NC=C1;isoniazid;137.0589118;68.01;1;2;3;-0.3149
117;C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C;succinylcholine;290.2194603;52.6;9;0;4;0.2654
118;C[C@@H](CNC1CCCCC1)OC(=O)C1=CC=CC=C1;hexylcaine ;261.172879;38.33;5;1;3;3.1542
119;CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1;sulfamethizole ;270.0245176;97.97;3;2;6;1.22952
120;CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1;pyrimethamine;248.0828741;77.82;2;2;4;2.5238
121;CCN(CC)CCOC(=O)C1=CC=C(N)C=C1;procaine ;236.1524779;55.56;6;1;4;1.7674
122;C[C@H](COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1;phenoxybenzamine ;303.138992;12.47;8;0;2;4.1949
123;C[C@H](N)[C@H](O)C1=CC(O)=C(O)C=C1;levonordefrin;183.0895433;86.71;2;4;4;0.4784
124;[O-][N+](=O)C1=CC=C(O1)\C=N/N1CC(=O)NC1=O;nitrofurantoin ;238.0338193;118.05;3;1;6;0.0735
125;C[C@@H](COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1;phenoxybenzamine ;303.138992;12.47;8;0;2;4.1949
126;CN1CC[C@]23CCCC[C@H]2[C@H]1CC1=C3C=C(O)C=C1;levorphanol;257.1779644;23.47;0;1;2;3.0804
127;CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C;propantheline;368.2220202;35.53;6;0;3;4.7308
128;O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1;phenytoin;252.0898776;58.2;2;2;2;1.7696
129;CN(C)CCO[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1;carbinoxamine;290.1185909;25.36;6;0;3;3.4026
130;O=C1C(C(=O)C2=C1C=CC=C2)C1=CC=CC=C1;phenindione;222.0680796;34.14;1;0;2;2.8494
131;C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1;methscopolamine;318.1699847;59.06;4;1;4;1.0627
132;CN1C(=O)C[C@H](C1=O)C1=CC=CC=C1;phensuximide ;189.0789786;37.38;1;0;2;1.1589
133;CCCOC1=C(N)C=C(C=C1)C(=O)OCCN(CC)CC;proparacaine ;294.1943427;64.79;9;1;5;2.5562
134;CN(C)CCO[C@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1;carbinoxamine;290.1185909;25.36;6;0;3;3.4026
135;CC(=O)NC1=NN=C(S1)S(N)(=O)=O;acetazolamide;221.9881321;115.04;2;2;6;-0.8561
136;O[C@](CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1;cycrimine;287.2249145;23.47;5;1;2;3.9404
137;COC1=C2OC=CC2=CC2=C1OC(=O)C=C2;methoxsalen;216.0422587;52.58;1;0;4;2.5478
138;S=C1N=CNC2=C1NC=N2;mercaptopurine ;152.0156671;57.36;0;2;3;1.01549
139;CCN(CC)[C@@H](C)CN1C2=CC=CC=C2SC2=C1C=CC=C2;ethopropazine;312.1660198;6.48;5;0;3;5.0196
140;CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C(NC5=CC(OC)=CC=C45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)C1=CC(OC)=C(OC)C(OC)=C1;reserpine;608.2733809;117.78;8;1;10;4.1711
141;CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2;chlorpromazine ;318.0957473;6.48;4;0;3;4.8944
142;C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O;testosterone ;288.2089301;37.3;0;1;2;3.8792
143;CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C;testosterone propionate;344.2351449;43.37;2;0;3;4.8401
144;NC(N)=C1C=CC(=C\C=C2\C=CC(=CC2=O)C(N)=[NH2+])C=C1;hydroxystilbamidine;281.1396876;120.72;2;4;3;-2.4418
145;CCC1(C(=O)NCNC1=O)C1=CC=CC=C1;primidone;218.1055277;58.2;2;2;2;0.5379
146;CC(=O)C[C@@H](C1=CC=CC=C1)C1=C(O)OC2=CC=CC=C2C1=O;warfarin ;308.104859;67.51;4;1;4;3.6096
147;CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C;progesterone ;314.2245802;34.14;1;0;2;4.7235
148;CN1C2=C([N-]C=N2)C(=O)N(C)C1=O;oxtriphylline;179.057449;70.99;0;0;5;-1.4106
149;C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1;deslanoside;942.4824301;282.21;10;9;19;0.0423
150;CC[N+](CC)(CC)CC[C@](O)(C1CCCCC1)C1=CC=CC=C1;tridihexethyl;318.2791412;20.23;8;1;1;4.7211
151;C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C;digoxin;780.4296067;203.06;7;6;14;2.2181
152;NCCC1=CC=NN1;betazole ;111.0796473;54.7;2;2;2;-0.0891
153;C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1;pentolinium;240.2554519;0;6;0;0;2.6375
154;CS(=O)(=O)OCCCCOS(C)(=O)=O;busulfan ;246.0231802;86.74;7;0;6;-0.281
155;CC[C@@H](C)C1(CC=C)C(=O)NC(=O)NC1=O;talbutal ;224.1160924;75.27;4;2;3;0.961
156;CCN(CC)CCOC(=O)C1=C(Cl)C=C(N)C=C1;chloroprocaine ;270.1135055;55.56;6;1;4;2.4208
157;C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C;acetyldigitoxin;806.4452568;188.9;8;4;14;3.8181
158;CC[N+](CC)(CC)CC[C@@](O)(C1CCCCC1)C1=CC=CC=C1;tridihexethyl;318.2791412;20.23;8;1;1;4.7211
159;C[C@H](N)[C@H](O)C1=CC(O)=CC=C1;metaraminol;167.0946287;66.48;2;3;3;0.7728
160;CC[C@@]1(CCC(=O)NC1=O)C1=CC=CC=C1;glutethimide ;217.1102787;46.17;2;1;2;1.771
161;CCN(CCO)CCC[C@@H](C)NC1=CC=NC2=CC(Cl)=CC=C12;hydroxychloroquine ;335.1764401;48.39;9;2;4;3.783
162;CCC1(CC)C(=O)NC[C@@H](C)C1=O;methyprylon;183.1259288;46.17;2;1;2;1.1278
163;CCCC(C)(COC(N)=O)COC(N)=O;meprobamate;218.1266571;104.64;6;2;4;0.9834
164;NC(=O)OC1(CCCCC1)C#C;ethinamate ;167.0946287;52.32;1;1;2;1.4178
165;C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO;prednisone ;358.1780239;91.67;2;2;5;1.7658
166;CCN(CCO)CCC[C@H](C)NC1=CC=NC2=CC(Cl)=CC=C12;hydroxychloroquine ;335.1764401;48.39;9;2;4;3.783
167;O[C@@](CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1;procyclidine ;287.2249145;23.47;5;1;2;3.9404
168;CN(C)C(=O)OC1=CC=C[N+](C)=C1;pyridostigmine ;181.0971541;33.42;1;0;2;0.5715
169;CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1;dyclonine;289.2041791;29.54;8;0;3;3.9242
170;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO;prednisolone ;360.193674;94.83;2;3;5;1.5576
171;CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C;prednisolone acetate ;402.2042387;100.9;3;2;6;2.1284
172;CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1;riboflavin ;376.1382844;161.56;5;5;9;-1.72356
173;CC[C@@](O)(\C=C\Cl)C#C;ethchlorvynol;144.0341926;20.23;2;1;1;1.5132
174;CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C;fludrocortisone acetate;422.2104669;100.9;3;2;6;2.4445
175;COC1=CC([C@@H](O)CN)=C(OC)C=C1;m midodrine;197.1051933;64.71;4;2;4;0.6959
176;C[C@@H](N)CC1=CC=C(O)C=C1;hydroxyamphetamine ;151.099714;46.25;2;2;2;1.2819
177;CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O;phytonadione ;450.3497807;34.14;14;0;2;9.1576
178;CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=C(Cl)C=CC=C1)CC1=C(Cl)C=CC=C1;ambenonium ;536.2673848;58.2;14;2;2;4.6392
179;COC(=O)[C@H]([C@@H]1CCCCN1)C1=CC=CC=C1;methylphenidate;233.1415788;38.33;3;1;3;2.0853
